TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
752.8000	77.3868
752.7000	77.2788
752.6000	77.161
752.5000	77.0488
752.4000	76.9191
752.3000	76.792
752.2000	76.6684
752.1000	76.5399
752.0000	76.4114
751.9000	76.2854
751.8000	76.1555
751.7000	76.0222
751.6000	75.8891
751.5000	75.7652
751.4000	75.6371
751.3000	75.502
751.2000	75.374
751.1000	75.2361
751.0000	75.1088
750.9000	74.9752
750.8000	74.8423
750.7000	74.7079
750.6000	74.5688
750.5000	74.4388
750.4000	74.3099
750.3000	74.1735
750.2000	74.0434
750.1000	73.9067
750.0000	73.7703
749.9000	73.6307
749.8000	73.4924
749.7000	73.3596
749.6000	73.2235
749.5000	73.0939
749.4000	72.9612
749.3000	72.8307
749.2000	72.7063
749.1000	72.5809
749.0000	72.4655
748.9000	72.3458
748.8000	72.2244
748.7000	72.1074
748.6000	71.9893
748.5000	71.8816
748.4000	71.7785
748.3000	71.6783
748.2000	71.582
748.1000	71.4789
748.0000	71.3812
747.9000	71.2858
747.8000	71.1991
747.7000	71.1159
747.6000	71.0352
747.5000	70.9542
747.4000	70.8713
747.3000	70.7942
747.2000	70.7207
747.1000	70.6569
747.0000	70.5928
746.9000	70.5293
746.8000	70.469
746.7000	70.4093
746.6000	70.3563
746.5000	70.311
746.4000	70.2712
746.3000	70.2296
746.2000	70.1872
746.1000	70.1567
746.0000	70.1256
745.9000	70.1036
745.8000	70.0837
745.7000	70.0687
745.6000	70.0565
745.5000	70.046
745.4000	70.0421
745.3000	70.0407
745.2000	70.0403
745.1000	70.0447
745.0000	70.0573
744.9000	70.0725
744.8000	70.0902
744.7000	70.1084
744.6000	70.1387
744.5000	70.1646
744.4000	70.1987
744.3000	70.2299
744.2000	70.2672
744.1000	70.3037
744.0000	70.3528
743.9000	70.4035
743.8000	70.4588
743.7000	70.5183
743.6000	70.5832
743.5000	70.6486
743.4000	70.715
743.3000	70.787
743.2000	70.8608
743.1000	70.9441
743.0000	71.0282
742.9000	71.1198
742.8000	71.2093
742.7000	71.3065
742.6000	71.401
742.5000	71.5056
742.4000	71.608
742.3000	71.7113
742.2000	71.8187
742.1000	71.9263
742.0000	72.0387
741.9000	72.1549
741.8000	72.274
741.7000	72.3938
741.6000	72.5119
741.5000	72.6321
741.4000	72.7537
741.3000	72.8715
741.2000	72.9921
741.1000	73.1181
741.0000	73.2524
740.9000	73.3785
740.8000	73.504
740.7000	73.6326
740.6000	73.7609
740.5000	73.8979
740.4000	74.0341
740.3000	74.1706
740.2000	74.3029
