TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
743.5000	71.2459
743.4000	71.3307
743.3000	71.4238
743.2000	71.511
743.1000	71.6014
743.0000	71.6969
742.9000	71.7946
742.8000	71.9013
742.7000	72.0028
742.6000	72.1167
742.5000	72.2286
742.4000	72.3449
742.3000	72.465
742.2000	72.5843
742.1000	72.7098
742.0000	72.8356
741.9000	72.9613
741.8000	73.0872
741.7000	73.211
741.6000	73.3434
741.5000	73.4818
741.4000	73.6158
741.3000	73.747
741.2000	73.8784
741.1000	74.0141
741.0000	74.1475
740.9000	74.2848
740.8000	74.4215
740.7000	74.5565
740.6000	74.6933
740.5000	74.8278
740.4000	74.9697
740.3000	75.1092
740.2000	75.2479
740.1000	75.3822
740.0000	75.4892
739.9000	75.6309
739.8000	75.7704
739.7000	75.9058
739.6000	76.0374
739.5000	76.1733
739.4000	76.3083
739.3000	76.4398
739.2000	76.5746
739.1000	76.6976
739.0000	76.8266
738.9000	76.9546
738.8000	77.0766
738.7000	77.1976
738.6000	77.3179
738.5000	77.4314
738.4000	77.5489
738.3000	77.6538
738.2000	77.7613
738.1000	77.8634
738.0000	77.9655
737.9000	78.0638
737.8000	78.161
737.7000	78.2575
737.6000	78.349
737.5000	78.4418
737.4000	78.5247
737.3000	78.6003
737.2000	78.6796
737.1000	78.7549
737.0000	78.8251
736.9000	78.89
736.8000	78.9522
736.7000	79.0104
736.6000	79.0692
736.5000	79.1244
736.4000	79.1818
736.3000	79.2231
736.2000	79.2612
736.1000	79.2954
736.0000	79.3239
735.9000	79.3491
735.8000	79.373
735.7000	79.3962
735.6000	79.4081
735.5000	79.4153
735.4000	79.4184
735.3000	79.4253
735.2000	79.4229
735.1000	79.4207
735.0000	79.4076
734.9000	79.3879
734.8000	79.3623
734.7000	79.3363
734.6000	79.3078
734.5000	79.2759
734.4000	79.2388
734.3000	79.1992
734.2000	79.1484
734.1000	79.0954
734.0000	79.0459
733.9000	78.9891
733.8000	78.9266
733.7000	78.8565
733.6000	78.7841
733.5000	78.7054
733.4000	78.6233
733.3000	78.541
733.2000	78.4556
733.1000	78.3686
733.0000	78.2771
732.9000	78.176
732.8000	78.0741
732.7000	77.9697
732.6000	77.8674
732.5000	77.7596
732.4000	77.6407
732.3000	77.5265
732.2000	77.4084
732.1000	77.2902
732.0000	77.1702
731.9000	77.0445
731.8000	76.9229
731.7000	76.7969
731.6000	76.6658
731.5000	76.5372
731.4000	76.403
731.3000	76.2726
731.2000	76.1416
731.1000	76.008
731.0000	75.8727
730.9000	75.7334
730.8000	75.5997
730.7000	75.4631
730.6000	75.3243
730.5000	75.1885
730.4000	75.0477
730.3000	74.9102
730.2000	74.7675
730.1000	74.6307
730.0000	74.4937
729.9000	74.351
729.8000	74.2134
729.7000	74.0762
729.6000	73.9388
729.5000	73.8019
729.4000	73.6657
729.3000	73.533
729.2000	73.4031
729.1000	73.2724
729.0000	73.1465
728.9000	73.0156
728.8000	72.8939
728.7000	72.7735
728.6000	72.658
728.5000	72.5377
728.4000	72.4212
728.3000	72.3088
728.2000	72.2005
728.1000	72.0931
728.0000	71.9881
727.9000	71.8873
727.8000	71.7906
727.7000	71.6977
727.6000	71.6001
727.5000	71.5093
727.4000	71.4194
727.3000	71.3373
727.2000	71.2538
727.1000	71.1768
727.0000	71.1007
726.9000	71.0314
726.8000	70.9658
726.7000	70.9051
726.6000	70.8431
726.5000	70.7869
726.4000	70.7355
726.3000	70.6872
726.2000	70.6441
726.1000	70.5952
726.0000	70.5606
725.9000	70.5259
725.8000	70.4973
725.7000	70.47
725.6000	70.4515
725.5000	70.4319
725.4000	70.4196
725.3000	70.4109
725.2000	70.4069
725.1000	70.4077
725.0000	70.4133
724.9000	70.4216
724.8000	70.4332
724.7000	70.4512
724.6000	70.4716
724.5000	70.5052
724.4000	70.536
724.3000	70.5737
724.2000	70.6133
724.1000	70.6604
724.0000	70.7042
723.9000	70.7594
723.8000	70.8171
723.7000	70.8742
723.6000	70.9412
723.5000	71.0089
723.4000	71.0788
723.3000	71.1541
723.2000	71.2345
723.1000	71.3171
723.0000	71.4013
722.9000	71.4924
722.8000	71.5881
722.7000	71.6819
722.6000	71.7787
722.5000	71.8814
