TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
743.1000	75.2684
743.0000	75.3624
742.9000	75.2345
742.8000	75.114
742.7000	75.3445
742.6000	75.2625
742.5000	74.9394
742.4000	74.9901
742.3000	75.2491
742.2000	75.1445
742.1000	75.0084
742.0000	75.2657
741.9000	75.2521
741.8000	74.949
741.7000	75.0291
741.6000	75.2714
741.5000	75.103
741.4000	74.9554
741.3000	75.091
741.2000	75.1017
741.1000	74.8378
741.0000	74.9747
740.9000	75.2083
740.8000	75.0621
740.7000	74.8235
740.6000	75.0412
740.5000	75.1702
740.4000	74.7982
740.3000	74.8091
740.2000	75.0804
740.1000	75.0218
740.0000	74.7716
739.9000	74.9946
739.8000	75.0713
739.7000	74.876
739.6000	74.8415
739.5000	75.1419
739.4000	75.1309
739.3000	74.9181
739.2000	75.0887
739.1000	75.2535
739.0000	75.0499
738.9000	74.9543
738.8000	75.2902
738.7000	75.3212
738.6000	75.113
738.5000	75.328
738.4000	75.5408
738.3000	75.429
738.2000	75.3711
738.1000	75.5043
738.0000	75.4975
737.9000	75.2613
737.8000	75.3664
737.7000	75.5907
737.6000	75.496
737.5000	75.3518
737.4000	75.6427
737.3000	75.6857
737.2000	75.4824
737.1000	75.61
737.0000	75.879
736.9000	75.6453
736.8000	75.6027
736.7000	75.7744
736.6000	75.8076
736.5000	75.6562
736.4000	75.722
736.3000	75.9318
736.2000	75.8081
736.1000	75.7554
736.0000	75.9789
735.9000	76.0954
735.8000	75.8753
735.7000	76.0117
735.6000	76.2454
735.5000	76.0606
735.4000	75.9112
735.3000	76.1686
735.2000	76.1611
735.1000	76.0462
735.0000	76.2196
734.9000	76.4202
734.8000	76.3039
734.7000	76.1858
734.6000	76.4201
734.5000	76.3968
734.4000	76.1858
734.3000	76.3269
734.2000	76.4769
734.1000	76.4222
734.0000	76.3361
733.9000	76.5574
733.8000	76.5983
733.7000	76.4945
733.6000	76.6335
733.5000	76.7232
733.4000	76.6032
733.3000	76.6354
733.2000	76.8016
733.1000	76.8985
733.0000	76.8194
732.9000	76.9656
732.8000	77.0831
732.7000	76.9688
732.6000	77.0354
732.5000	77.1294
732.4000	77.1475
732.3000	77.0787
732.2000	77.2563
732.1000	77.3248
732.0000	77.2451
731.9000	77.4323
731.8000	77.5511
731.7000	77.4877
731.6000	77.4761
731.5000	77.5715
731.4000	77.5524
731.3000	77.3939
731.2000	77.4167
731.1000	77.4509
731.0000	77.3132
730.9000	77.2538
730.8000	77.2794
730.7000	77.25
730.6000	77.1331
730.5000	77.1993
730.4000	77.2271
730.3000	77.043
730.2000	77.0281
730.1000	77.1248
730.0000	77.1259
729.9000	77.077
729.8000	77.1962
729.7000	77.2193
729.6000	77.2144
729.5000	77.3136
729.4000	77.3946
729.3000	77.3676
729.2000	77.4634
729.1000	77.531
729.0000	77.5158
728.9000	77.4397
728.8000	77.5709
728.7000	77.5823
728.6000	77.501
728.5000	77.4707
728.4000	77.5109
728.3000	77.4121
728.2000	77.2652
728.1000	77.3383
728.0000	77.3231
727.9000	77.1826
727.8000	77.2388
727.7000	77.2961
727.6000	77.0883
727.5000	77.0785
727.4000	77.2267
727.3000	77.1876
727.2000	77.0208
727.1000	77.0884
727.0000	77.089
726.9000	77.0001
726.8000	76.9859
726.7000	77.1155
726.6000	77.0462
726.5000	76.9333
726.4000	76.9753
726.3000	76.9848
726.2000	76.8149
726.1000	76.8712
726.0000	76.9611
725.9000	76.8458
725.8000	76.716
725.7000	76.7715
725.6000	76.6293
725.5000	76.4249
725.4000	76.5461
725.3000	76.4964
725.2000	76.3555
725.1000	76.306
725.0000	76.436
724.9000	76.3177
724.8000	76.2131
724.7000	76.2938
724.6000	76.2274
724.5000	76.0472
724.4000	76.1103
724.3000	76.0862
724.2000	75.9231
724.1000	75.8909
724.0000	76.0075
723.9000	75.9928
723.8000	75.9157
723.7000	75.9472
723.6000	75.8621
723.5000	75.7286
723.4000	75.7374
723.3000	75.849
723.2000	75.7139
723.1000	75.7283
723.0000	75.8175
722.9000	75.704
722.8000	75.5544
722.7000	75.6316
722.6000	75.6124
722.5000	75.4051
722.4000	75.5097
722.3000	75.5392
722.2000	75.3107
722.1000	75.3345
